Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LUMA_Project_Suite,Chrome 131.0.0.0,,,14-01-2025 17:42:18,14-01-2025 17:47:05,4m - 46.875s,FAILED
,,,,,,,
Test Cases/Secnario_1,Chrome 131.0.0.0,,,14-01-2025 17:42:18,14-01-2025 17:43:01,42.578s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 17:42:19,14-01-2025 17:42:24,5.582s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:42:24,14-01-2025 17:42:24,0.097s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,14-01-2025 17:42:24,14-01-2025 17:42:42,18.012s,PASSED
delay(2),Chrome 131.0.0.0,,,14-01-2025 17:42:42,14-01-2025 17:42:44,2.041s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Home Page/a_Create an Account""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:42:44,14-01-2025 17:42:45,0.654s,PASSED
"click(findTestObject(""Object Repository/Secnario_1/Page_Home Page/a_Create an Account""))",Chrome 131.0.0.0,,,14-01-2025 17:42:45,14-01-2025 17:42:47,2.017s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_First Name_firstname""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:42:47,14-01-2025 17:42:47,0.277s,PASSED
"setText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_First Name_firstname""), FirstName)",Chrome 131.0.0.0,,,14-01-2025 17:42:47,14-01-2025 17:42:48,0.636s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Last Name_lastname""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:42:48,14-01-2025 17:42:48,0.303s,PASSED
"setText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Last Name_lastname""), LastName)",Chrome 131.0.0.0,,,14-01-2025 17:42:48,14-01-2025 17:42:49,0.657s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Email_email""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:42:49,14-01-2025 17:42:49,0.287s,PASSED
"setText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Email_email""), Email)",Chrome 131.0.0.0,,,14-01-2025 17:42:49,14-01-2025 17:42:50,0.599s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Password_password""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:42:50,14-01-2025 17:42:50,0.475s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Password_password""), Password)",Chrome 131.0.0.0,,,14-01-2025 17:42:50,14-01-2025 17:42:51,0.376s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Confirm Password_password_confirmation""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:42:51,14-01-2025 17:42:51,0.477s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Confirm Password_password_confirmation""), Password)",Chrome 131.0.0.0,,,14-01-2025 17:42:51,14-01-2025 17:42:52,0.346s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/span_Create an Account""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:42:52,14-01-2025 17:42:52,0.491s,PASSED
"click(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/span_Create an Account""))",Chrome 131.0.0.0,,,14-01-2025 17:42:52,14-01-2025 17:42:56,3.515s,PASSED
delay(4),Chrome 131.0.0.0,,,14-01-2025 17:42:56,14-01-2025 17:43:00,4.007s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_My Account/div_Thank you for registering with Main Web_e69dd7""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:00,14-01-2025 17:43:00,0.271s,PASSED
"verifyElementText(findTestObject(""Object Repository/Secnario_1/Page_My Account/div_Thank you for registering with Main Web_e69dd7""), ""Thank you for registering with Main Website Store."")",Chrome 131.0.0.0,,,14-01-2025 17:43:00,14-01-2025 17:43:00,0.300s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:43:00,14-01-2025 17:43:01,0.716s,PASSED
,,,,,,,
Test Cases/Scenario_2,Chrome 131.0.0.0,,,14-01-2025 17:43:01,14-01-2025 17:43:44,42.754s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 17:43:01,14-01-2025 17:43:03,1.991s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:43:03,14-01-2025 17:43:03,0.060s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,14-01-2025 17:43:03,14-01-2025 17:43:11,8.330s,PASSED
delay(2),Chrome 131.0.0.0,,,14-01-2025 17:43:11,14-01-2025 17:43:13,2.013s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_/a_Sign In""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:13,14-01-2025 17:43:14,1.042s,PASSED
"click(findTestObject(""Object Repository/Scenario_3/Page_/a_Sign In""))",Chrome 131.0.0.0,,,14-01-2025 17:43:14,14-01-2025 17:43:19,5.127s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Customer Login/input_Email_loginusername""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:19,14-01-2025 17:43:20,0.277s,PASSED
"setText(findTestObject(""Object Repository/Scenario_2/Page_Customer Login/input_Email_loginusername""), UserID)",Chrome 131.0.0.0,,,14-01-2025 17:43:20,14-01-2025 17:43:20,0.603s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Customer Login/input_Password_loginpassword""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:20,14-01-2025 17:43:21,0.256s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Scenario_2/Page_Customer Login/input_Password_loginpassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 17:43:21,14-01-2025 17:43:21,0.325s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Customer Login/span_Sign In""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:21,14-01-2025 17:43:21,0.241s,PASSED
"click(findTestObject(""Object Repository/Scenario_2/Page_Customer Login/span_Sign In""))",Chrome 131.0.0.0,,,14-01-2025 17:43:21,14-01-2025 17:43:26,4.645s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Home Page/span_Shorts_ui-menu-icon ui-icon ui-icon-carat-1-e""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:26,14-01-2025 17:43:26,0.283s,PASSED
"click(findTestObject(""Object Repository/Scenario_2/Page_Home Page/span_Shorts_ui-menu-icon ui-icon ui-icon-carat-1-e""))",Chrome 131.0.0.0,,,14-01-2025 17:43:26,14-01-2025 17:43:28,2.244s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Men/a_Jackets""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:28,14-01-2025 17:43:29,0.281s,PASSED
"click(findTestObject(""Object Repository/Scenario_2/Page_Men/a_Jackets""))",Chrome 131.0.0.0,,,14-01-2025 17:43:29,14-01-2025 17:43:31,2.134s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Jackets - Tops - Men/img_Add to Compare_product-image-photo""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:31,14-01-2025 17:43:31,0.282s,PASSED
"click(findTestObject(""Scenario_2/Page_Jackets - Tops - Men/img_Add to Compare_product-image-photo""))",Chrome 131.0.0.0,,,14-01-2025 17:43:31,14-01-2025 17:43:34,2.775s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Montana Wind Jacket/div_S""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:34,14-01-2025 17:43:35,0.792s,PASSED
"click(findTestObject(""Object Repository/Scenario_2/Page_Montana Wind Jacket/div_S""))",Chrome 131.0.0.0,,,14-01-2025 17:43:35,14-01-2025 17:43:35,0.349s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Montana Wind Jacket/div_Color_option-label-color-93-item-49""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:35,14-01-2025 17:43:36,0.699s,PASSED
"click(findTestObject(""Object Repository/Scenario_2/Page_Montana Wind Jacket/div_Color_option-label-color-93-item-49""))",Chrome 131.0.0.0,,,14-01-2025 17:43:36,14-01-2025 17:43:36,0.352s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Montana Wind Jacket/span_Add to Cart""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:36,14-01-2025 17:43:37,0.474s,PASSED
"click(findTestObject(""Object Repository/Scenario_2/Page_Montana Wind Jacket/span_Add to Cart""))",Chrome 131.0.0.0,,,14-01-2025 17:43:37,14-01-2025 17:43:37,0.347s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Montana Wind Jacket/div_You added Montana Wind Jacket to your s_af8450""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:37,14-01-2025 17:43:42,5.384s,PASSED
"verifyElementText(findTestObject(""Object Repository/Scenario_2/Page_Montana Wind Jacket/div_You added Montana Wind Jacket to your s_af8450""), ""You added Montana Wind Jacket to your shopping cart."")",Chrome 131.0.0.0,,,14-01-2025 17:43:42,14-01-2025 17:43:43,0.266s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Montana Wind Jacket/a_My Cart                    1             _241c1f""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:43:43,14-01-2025 17:43:43,0.265s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Scenario_2/Page_Montana Wind Jacket/a_My Cart                    1             _241c1f""))",Chrome 131.0.0.0,,,14-01-2025 17:43:43,14-01-2025 17:43:43,0.250s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:43:43,14-01-2025 17:43:44,0.548s,PASSED
,,,,,,,
Test Cases/Scenario_3,Chrome 131.0.0.0,,,14-01-2025 17:43:44,14-01-2025 17:45:48,2m - 4.048s,FAILED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 17:43:44,14-01-2025 17:43:46,1.992s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:43:46,14-01-2025 17:43:46,0.050s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,14-01-2025 17:43:46,14-01-2025 17:43:59,13.373s,PASSED
delay(2),Chrome 131.0.0.0,,,14-01-2025 17:43:59,14-01-2025 17:44:01,2.008s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_/a_Sign In""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:44:01,14-01-2025 17:44:03,2.017s,PASSED
"click(findTestObject(""Object Repository/Scenario_3/Page_/a_Sign In""))",Chrome 131.0.0.0,,,14-01-2025 17:44:03,14-01-2025 17:44:06,3.159s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_Customer Login/input_Email_loginusername""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:44:06,14-01-2025 17:44:07,0.273s,PASSED
"setText(findTestObject(""Object Repository/Scenario_3/Page_Customer Login/input_Email_loginusername""), UserID)",Chrome 131.0.0.0,,,14-01-2025 17:44:07,14-01-2025 17:44:07,0.578s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_Customer Login/input_Password_loginpassword""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:44:07,14-01-2025 17:44:07,0.248s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Scenario_3/Page_Customer Login/input_Password_loginpassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 17:44:07,14-01-2025 17:44:08,0.305s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_Customer Login/span_Sign In""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:44:08,14-01-2025 17:44:08,0.257s,PASSED
"click(findTestObject(""Object Repository/Scenario_3/Page_Customer Login/span_Sign In""))",Chrome 131.0.0.0,,,14-01-2025 17:44:08,14-01-2025 17:44:35,26.587s,PASSED
delay(2),Chrome 131.0.0.0,,,14-01-2025 17:44:35,14-01-2025 17:44:37,2.011s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_My Account/a_My Cart                    1             _241c1f""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:44:37,14-01-2025 17:44:37,0.265s,PASSED
"click(findTestObject(""Scenario_3/Page_My Account/a_My Cart                    1             _241c1f""))",Chrome 131.0.0.0,,,14-01-2025 17:44:37,14-01-2025 17:44:37,0.313s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_My Account/button_Proceed to Checkout""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:44:37,14-01-2025 17:44:37,0.254s,PASSED
"click(findTestObject(""Object Repository/Scenario_3/Page_My Account/button_Proceed to Checkout""))",Chrome 131.0.0.0,,,14-01-2025 17:44:37,14-01-2025 17:44:42,4.805s,PASSED
delay(3),Chrome 131.0.0.0,,,14-01-2025 17:44:42,14-01-2025 17:44:45,3.016s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_Checkout/input_Street Address Line 1_street0""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:44:45,14-01-2025 17:45:16,31.114s,PASSED
"setText(findTestObject(""Scenario_3/Page_Checkout/input_Street Address Line 1_street0""), Street)",Chrome 131.0.0.0,,,14-01-2025 17:45:16,14-01-2025 17:45:48,31.292s,FAILED
,,,,,,,
Test Cases/Scenario_4,Chrome 131.0.0.0,,,14-01-2025 17:45:48,14-01-2025 17:47:05,1m - 17.235s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 17:45:48,14-01-2025 17:45:49,1.717s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:45:49,14-01-2025 17:45:49,0.045s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,14-01-2025 17:45:49,14-01-2025 17:46:30,40.130s,PASSED
delay(2),Chrome 131.0.0.0,,,14-01-2025 17:46:30,14-01-2025 17:46:32,2.009s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Home Page/a_Sign In""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:46:32,14-01-2025 17:46:32,0.438s,PASSED
"click(findTestObject(""Object Repository/Scenario_4/Page_Home Page/a_Sign In""))",Chrome 131.0.0.0,,,14-01-2025 17:46:32,14-01-2025 17:46:35,2.803s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Customer Login/input_Email_loginusername""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:46:35,14-01-2025 17:46:35,0.263s,PASSED
"setText(findTestObject(""Object Repository/Scenario_4/Page_Customer Login/input_Email_loginusername""), UserID)",Chrome 131.0.0.0,,,14-01-2025 17:46:35,14-01-2025 17:46:36,0.649s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Customer Login/input_Password_loginpassword""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:46:36,14-01-2025 17:46:36,0.272s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Scenario_4/Page_Customer Login/input_Password_loginpassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 17:46:36,14-01-2025 17:46:36,0.329s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Customer Login/span_Sign In""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:46:36,14-01-2025 17:46:37,0.304s,PASSED
"click(findTestObject(""Object Repository/Scenario_4/Page_Customer Login/span_Sign In""))",Chrome 131.0.0.0,,,14-01-2025 17:46:37,14-01-2025 17:46:57,20.802s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Home Page/input_Search_q""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:46:57,14-01-2025 17:46:58,0.268s,PASSED
"setText(findTestObject(""Object Repository/Scenario_4/Page_Home Page/input_Search_q""), ""Nike"")",Chrome 131.0.0.0,,,14-01-2025 17:46:58,14-01-2025 17:46:58,0.583s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Home Page/button_Search""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:46:58,14-01-2025 17:46:59,0.297s,PASSED
"click(findTestObject(""Object Repository/Scenario_4/Page_Home Page/button_Search""))",Chrome 131.0.0.0,,,14-01-2025 17:46:59,14-01-2025 17:47:03,4.542s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Search results for Nike/span_Search results for Nike""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:47:03,14-01-2025 17:47:03,0.285s,PASSED
"verifyElementText(findTestObject(""Object Repository/Scenario_4/Page_Search results for Nike/span_Search results for Nike""), ""Search results for: 'Nike'"")",Chrome 131.0.0.0,,,14-01-2025 17:47:03,14-01-2025 17:47:04,0.299s,PASSED
assert true,Chrome 131.0.0.0,,,14-01-2025 17:47:04,14-01-2025 17:47:04,0.001s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:47:04,14-01-2025 17:47:05,1.096s,PASSED
