Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementPresent(findTestObject(""Scenario_2/Page_Customer Login/span_Sign In""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:26:54,14-01-2025 17:26:54,0.271s,PASSED
"click(findTestObject(""Object Repository/Scenario_2/Page_Customer Login/span_Sign In""))",Chrome 131.0.0.0,,,14-01-2025 17:26:54,14-01-2025 17:26:58,4.205s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Home Page/span_Shorts_ui-menu-icon ui-icon ui-icon-carat-1-e""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:26:58,14-01-2025 17:26:59,1.067s,PASSED
"click(findTestObject(""Object Repository/Scenario_2/Page_Home Page/span_Shorts_ui-menu-icon ui-icon ui-icon-carat-1-e""))",Chrome 131.0.0.0,,,14-01-2025 17:26:59,14-01-2025 17:27:02,2.810s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Men/a_Jackets""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:02,14-01-2025 17:27:02,0.248s,PASSED
"click(findTestObject(""Object Repository/Scenario_2/Page_Men/a_Jackets""))",Chrome 131.0.0.0,,,14-01-2025 17:27:02,14-01-2025 17:27:04,1.732s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Jackets - Tops - Men/img_Add to Compare_product-image-photo""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:04,14-01-2025 17:27:04,0.276s,PASSED
"click(findTestObject(""Scenario_2/Page_Jackets - Tops - Men/img_Add to Compare_product-image-photo""))",Chrome 131.0.0.0,,,14-01-2025 17:27:04,14-01-2025 17:27:07,2.357s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Montana Wind Jacket/div_S""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:07,14-01-2025 17:27:08,1.302s,PASSED
"click(findTestObject(""Object Repository/Scenario_2/Page_Montana Wind Jacket/div_S""))",Chrome 131.0.0.0,,,14-01-2025 17:27:08,14-01-2025 17:27:09,0.641s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Montana Wind Jacket/div_Color_option-label-color-93-item-49""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:09,14-01-2025 17:27:09,0.707s,PASSED
"click(findTestObject(""Object Repository/Scenario_2/Page_Montana Wind Jacket/div_Color_option-label-color-93-item-49""))",Chrome 131.0.0.0,,,14-01-2025 17:27:09,14-01-2025 17:27:10,0.325s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Montana Wind Jacket/span_Add to Cart""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:10,14-01-2025 17:27:10,0.498s,PASSED
"click(findTestObject(""Object Repository/Scenario_2/Page_Montana Wind Jacket/span_Add to Cart""))",Chrome 131.0.0.0,,,14-01-2025 17:27:10,14-01-2025 17:27:11,0.354s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Montana Wind Jacket/div_You added Montana Wind Jacket to your s_af8450""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:11,14-01-2025 17:27:15,4.023s,PASSED
"verifyElementText(findTestObject(""Object Repository/Scenario_2/Page_Montana Wind Jacket/div_You added Montana Wind Jacket to your s_af8450""), ""You added Montana Wind Jacket to your shopping cart."")",Chrome 131.0.0.0,,,14-01-2025 17:27:15,14-01-2025 17:27:15,0.250s,PASSED
"waitForElementPresent(findTestObject(""Scenario_2/Page_Montana Wind Jacket/a_My Cart                    1             _241c1f""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:15,14-01-2025 17:27:15,0.249s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Scenario_2/Page_Montana Wind Jacket/a_My Cart                    1             _241c1f""))",Chrome 131.0.0.0,,,14-01-2025 17:27:15,14-01-2025 17:27:15,0.313s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:27:15,14-01-2025 17:27:16,0.843s,PASSED
,,,,,,,
Test Cases/Scenario_3,Chrome 131.0.0.0,,,14-01-2025 17:27:16,14-01-2025 17:28:52,1m - 35.686s,FAILED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 17:27:16,14-01-2025 17:27:18,1.453s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:27:18,14-01-2025 17:27:18,0.061s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,14-01-2025 17:27:18,14-01-2025 17:27:28,9.842s,PASSED
delay(2),Chrome 131.0.0.0,,,14-01-2025 17:27:28,14-01-2025 17:27:30,2.023s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_/a_Sign In""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:30,14-01-2025 17:27:32,2.048s,PASSED
"click(findTestObject(""Object Repository/Scenario_3/Page_/a_Sign In""))",Chrome 131.0.0.0,,,14-01-2025 17:27:32,14-01-2025 17:27:33,1.728s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_Customer Login/input_Email_loginusername""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:33,14-01-2025 17:27:34,0.275s,PASSED
