Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LUMA_Project_Suite,Chrome 131.0.0.0,,,14-01-2025 18:27:23,14-01-2025 18:31:34,4m - 11.145s,PASSED
,,,,,,,
Test Cases/Secnario_1,Chrome 131.0.0.0,,,14-01-2025 18:27:24,14-01-2025 18:28:13,49.447s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 18:27:24,14-01-2025 18:27:32,7.810s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 18:27:32,14-01-2025 18:27:32,0.207s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,14-01-2025 18:27:32,14-01-2025 18:27:48,15.662s,PASSED
delay(2),Chrome 131.0.0.0,,,14-01-2025 18:27:48,14-01-2025 18:27:50,2.128s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Home Page/a_Create an Account""), 0)",Chrome 131.0.0.0,,,14-01-2025 18:27:50,14-01-2025 18:27:51,0.618s,PASSED
"click(findTestObject(""Object Repository/Secnario_1/Page_Home Page/a_Create an Account""))",Chrome 131.0.0.0,,,14-01-2025 18:27:51,14-01-2025 18:27:54,3.449s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_First Name_firstname""), 0)",Chrome 131.0.0.0,,,14-01-2025 18:27:54,14-01-2025 18:27:55,0.717s,PASSED
"setText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_First Name_firstname""), FirstName)",Chrome 131.0.0.0,,,14-01-2025 18:27:55,14-01-2025 18:27:56,1.087s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Last Name_lastname""), 0)",Chrome 131.0.0.0,,,14-01-2025 18:27:56,14-01-2025 18:27:56,0.438s,PASSED
"setText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Last Name_lastname""), LastName)",Chrome 131.0.0.0,,,14-01-2025 18:27:56,14-01-2025 18:27:57,0.838s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Email_email""), 0)",Chrome 131.0.0.0,,,14-01-2025 18:27:57,14-01-2025 18:27:57,0.344s,PASSED
"setText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Email_email""), Email)",Chrome 131.0.0.0,,,14-01-2025 18:27:57,14-01-2025 18:27:58,0.806s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Password_password""), 0)",Chrome 131.0.0.0,,,14-01-2025 18:27:58,14-01-2025 18:27:59,0.553s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Password_password""), Password)",Chrome 131.0.0.0,,,14-01-2025 18:27:59,14-01-2025 18:28:00,0.982s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/input_Confirm Password_password_confirmation""), 0)",Chrome 131.0.0.0,,,14-01-2025 18:28:00,14-01-2025 18:28:00,0.466s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Secnario_1/Page_Create New Customer Account/input_Confirm Password_password_confirmation""), Password)",Chrome 131.0.0.0,,,14-01-2025 18:28:00,14-01-2025 18:28:01,0.631s,PASSED
"waitForElementPresent(findTestObject(""Secnario_1/Page_Create New Customer Account/span_Create an Account""), 0)",Chrome 131.0.0.0,,,14-01-2025 18:28:01,14-01-2025 18:28:01,0.446s,PASSED
